2024-06-26T00:25:47.121+05:30  INFO 3224 --- [SpringApplicationShutdownHook] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2024-06-26T00:25:47.194+05:30  INFO 3224 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2024-06-26T00:25:47.206+05:30  INFO 3224 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
2024-06-26T18:12:20.773+05:30  INFO 9340 --- [main] com.tuskers.backend.BackendApplication   : Starting BackendApplication using Java 17.0.11 with PID 9340 (D:\Projects\Tuskers Database Web Application\backend\target\classes started by MSI 1 in D:\Projects\Tuskers Database Web Application\backend)
2024-06-26T18:12:20.783+05:30  INFO 9340 --- [main] com.tuskers.backend.BackendApplication   : No active profile set, falling back to 1 default profile: "default"
2024-06-26T18:12:22.403+05:30  INFO 9340 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-06-26T18:12:22.513+05:30  INFO 9340 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 100 ms. Found 2 JPA repository interfaces.
2024-06-26T18:12:23.484+05:30  INFO 9340 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8080 (http)
2024-06-26T18:12:23.489+05:30  INFO 9340 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-06-26T18:12:23.489+05:30  INFO 9340 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.24]
2024-06-26T18:12:23.599+05:30  INFO 9340 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-06-26T18:12:23.599+05:30  INFO 9340 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2726 ms
2024-06-26T18:12:23.788+05:30  INFO 9340 --- [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2024-06-26T18:12:23.890+05:30  INFO 9340 --- [main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.5.2.Final
2024-06-26T18:12:23.946+05:30  INFO 9340 --- [main] o.h.c.internal.RegionFactoryInitiator    : HHH000026: Second-level cache disabled
2024-06-26T18:12:24.590+05:30  INFO 9340 --- [main] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
2024-06-26T18:12:24.638+05:30  INFO 9340 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2024-06-26T18:12:24.937+05:30  INFO 9340 --- [main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@1b3bec6c
2024-06-26T18:12:24.953+05:30  INFO 9340 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2024-06-26T18:12:26.545+05:30  INFO 9340 --- [main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-06-26T18:12:26.655+05:30  INFO 9340 --- [main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-06-26T18:12:27.175+05:30  INFO 9340 --- [main] o.s.d.j.r.query.QueryEnhancerFactory     : Hibernate is in classpath; If applicable, HQL parser will be used.
2024-06-26T18:12:27.392+05:30  INFO 9340 --- [main] eAuthenticationProviderManagerConfigurer : Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
2024-06-26T18:12:27.392+05:30  WARN 9340 --- [main] r$InitializeUserDetailsManagerConfigurer : Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
2024-06-26T18:12:27.514+05:30  WARN 9340 --- [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
